,cbg,before,after,instrument
417,060014368002,4.0,4.0,0.0
418,060014369001,15.0,4.0,0.26666666666666666
419,060014369002,3.0,0.0,0.0
420,060014370001,20.0,12.0,0.39999999999999997
421,060014370002,4.0,4.0,0.0
422,060014370003,16.0,4.0,0.5
423,060014371011,31.0,16.0,0.5218253968253967
424,060014371012,4.0,4.0,0.0
425,060014371013,4.0,0.0,1.0
426,060014371022,4.0,0.0,1.0
427,060014372001,15.0,4.0,0.5333333333333333
428,060014372003,4.0,0.0,0.0
429,060014372004,7.0,0.0,0.625
430,060014373001,6.0,0.0,0.75
431,060014373002,8.0,0.0,0.5
432,060014373003,4.5,0.0,0.0
433,060014374001,5.0,4.0,0.875
434,060014374002,3.5,0.0,0.0
435,060014375001,26.625,17.0,0.3391749379652606
436,060014375002,10.75,0.0,0.38125
437,060014376001,20.0,11.0,0.3025210084033613
438,060014377011,1.0,0.0,0.0
439,060014377012,17.0,13.0,0.4705882352941177
440,060014377013,15.0,11.0,1.0
441,060014377021,25.0,18.0,0.36188811188811193
442,060014377022,13.0,4.0,0.0
443,060014378001,4.0,0.0,1.0
444,060014378002,9.5,4.0,0.5208333333333333
445,060014379001,4.0,0.0,1.0
446,060014379002,7.5,7.0,0.0
447,060014380001,12.0,4.0,0.0
448,060014381001,4.0,4.0,1.0
449,060014381002,4.0,0.0,0.0
450,060014381003,16.0,4.0,0.31674208144796384
451,060014381004,8.5,8.0,0.47916666666666663
452,060014381005,5.5,0.0,0.0
453,060014381006,3.5,0.0,0.0
454,060014382011,12.0,8.0,0.3333333333333333
455,060014382012,12.0,12.0,0.3333333333333333
456,060014382013,10.0,4.0,0.41666666666666663
457,060014382031,12.0,4.0,0.6666666666666666
458,060014382032,13.0,0.0,0.3076923076923077
459,060014382041,0.5,0.0,0.0
460,060014382043,30.0,21.0,0.13333333333333333
461,060014383001,4.0,4.0,0.0
462,060014383002,8.0,0.0,1.0
463,060014384001,4.0,4.0,0.0
464,060014384002,9.5,4.0,0.0
465,060014401001,4.0,0.0,1.0
466,060014402001,5.0,0.0,0.0
467,060014402002,1.5,0.0,0.0
468,060014402003,4.0,4.0,0.0
469,060014402004,6.5,0.0,0.6875
470,060014403011,4.0,0.0,1.0
471,060014403012,14.5,0.0,0.5791666666666666
472,060014403013,7.0,0.0,0.625
473,060014403014,10.5,4.0,0.3958333333333333
474,060014403041,8.0,0.0,1.0
475,060014403042,21.0,4.0,0.8095238095238094
476,060014403043,7.0,0.0,0.625
477,060014403051,8.0,0.0,1.0
478,060014403052,7.5,0.0,0.4375
479,060014403061,18.0,0.0,0.7777777777777778
480,060014403062,9.0,0.0,0.5555555555555555
481,060014403072,8.0,0.0,0.5
482,060014403073,8.0,0.0,1.0
483,060014403082,9.0,0.0,0.44444444444444453
484,060014403311,12.0,0.0,1.0
485,060014403312,4.0,0.0,1.0
486,060014403321,7.5,0.0,0.85
487,060014403322,23.0,4.0,0.6521739130434784
488,060014403331,8.0,4.0,1.0
489,060014403332,4.0,0.0,1.0
490,060014403341,12.0,4.0,0.3333333333333333
491,060014403342,8.0,4.0,0.0
492,060014403351,20.0,0.0,1.0
493,060014403352,4.0,0.0,1.0
494,060014403361,4.0,4.0,1.0
495,060014403362,4.0,0.0,1.0
496,060014411001,0.5,0.0,0.0
497,060014411002,5.5,0.0,0.8541666666666666
498,060014412001,0.5,0.0,0.0
499,060014412002,4.0,4.0,1.0
500,060014412003,0.5,0.0,0.0
501,060014413012,8.0,0.0,0.5
502,060014413021,3.25,0.0,0.0
503,060014413023,0.5,0.0,0.0
504,060014413024,7.0,4.0,0.625
505,060014414011,4.0,4.0,1.0
506,060014414012,16.0,12.0,0.25
507,060014414014,5.0,0.0,1.0
508,060014414021,8.0,0.0,0.0
509,060014414022,4.5,0.0,0.9375
510,060014414023,4.0,0.0,0.0
511,060014415011,13.5,4.0,0.6719457013574661
512,060014415012,8.0,0.0,0.5
513,060014415031,18.0,4.0,0.68125
514,060014415032,4.0,4.0,0.0
515,060014415211,4.0,0.0,0.0
516,060014415213,5.0,0.0,1.0
517,060014415221,8.0,0.0,1.0
518,060014415223,6.5,0.0,0.6875
519,060014415232,4.0,0.0,1.0
520,060014415233,4.0,4.0,1.0
521,060014415241,4.0,4.0,0.0
522,060014416012,5.0,0.0,0.0
523,060014416021,22.0,0.0,0.6363636363636364
524,060014416023,3.0,0.0,0.0
525,060014416024,4.0,0.0,1.0
526,060014417003,4.0,0.0,0.0
527,060014417004,18.0,10.0,0.3333333333333333
528,060014418001,10.5,0.0,0.5598290598290598
529,060014418002,4.0,0.0,0.0
530,060014418003,14.5,0.0,0.27878787878787875
531,060014419242,3.5,0.0,0.0
532,060014419251,8.0,4.0,0.0
533,060014419252,3.0,0.0,0.0
534,060014419261,4.0,4.0,1.0
535,060014420001,5.0,0.0,1.0
536,060014421001,8.0,8.0,0.5
537,060014421002,4.0,0.0,0.0
538,060014422001,12.0,4.0,0.6666666666666666
539,060014422002,13.0,4.0,1.0
540,060014422003,8.0,0.0,0.5
541,060014422004,4.0,0.0,1.0
542,060014423011,6.0,0.0,0.0
543,060014423012,5.0,4.0,0.0
544,060014423013,4.0,4.0,1.0
545,060014423021,8.0,4.0,1.0
546,060014423022,1.0,0.0,0.0
547,060014424001,4.0,0.0,1.0
548,060014424004,5.5,0.0,0.0
549,060014425001,17.0,13.0,0.4705882352941177
550,060014425002,8.5,0.0,0.0
551,060014425003,4.0,0.0,1.0
552,060014425004,4.0,0.0,1.0
553,060014426011,4.0,0.0,1.0
554,060014426021,15.5,4.0,0.6547619047619048
555,060014426022,2.5,0.0,0.0
556,060014427001,4.0,0.0,1.0
557,060014427002,8.0,0.0,0.5
558,060014429001,4.0,4.0,1.0
559,060014429002,12.0,0.0,0.3333333333333333
560,060014429003,4.0,0.0,0.0
561,060014430011,4.0,4.0,0.0
562,060014430021,4.0,0.0,0.0
563,060014430022,16.0,4.0,0.75
564,060014430023,17.5,14.0,0.23015873015873017
565,060014431022,8.0,4.0,1.0
566,060014431031,5.0,0.0,1.0
567,060014431032,11.0,4.0,0.0
568,060014431041,8.5,8.0,0.47916666666666663
569,060014431043,4.0,0.0,0.0
570,060014431052,16.0,0.0,0.5
571,060014432001,18.0,8.0,1.0
572,060014432002,17.0,4.0,0.7647058823529411
573,060014433011,12.0,8.0,0.3333333333333333
574,060014433012,17.5,8.0,0.4625
575,060014433211,4.0,0.0,0.0
576,060014433212,13.0,9.0,0.38461538461538464
577,060014433222,12.0,8.0,0.0
578,060014441001,8.0,4.0,0.5
579,060014441003,4.0,4.0,1.0
580,060014441004,8.0,4.0,0.0
581,060014442002,13.5,4.0,0.0
582,060014442003,16.5,4.0,0.5497737556561085
583,060014443011,8.0,0.0,0.5
584,060014443012,8.0,4.0,0.0
585,060014443021,4.0,4.0,0.0
586,060014443022,16.0,0.0,0.5
587,060014444001,4.0,4.0,0.0
588,060014444002,17.0,17.0,0.0
589,060014444003,4.0,4.0,0.0
590,060014445003,5.5,0.0,0.0
591,060014445004,17.0,0.0,0.23529411764705885
592,060014446012,10.5,0.0,0.0
593,060014446021,16.0,4.0,0.5
594,060014446022,12.0,0.0,0.6666666666666666
595,060014501011,4.0,0.0,1.0
596,060014501023,12.0,0.0,0.6666666666666666
597,060014502001,8.0,0.0,0.5
598,060014502002,3.0,0.0,0.0
599,060014503001,9.0,4.0,0.5555555555555555
600,060014504003,4.0,4.0,1.0
601,060014505021,8.0,0.0,0.5
602,060014506011,3.5,0.0,0.0
603,060014506012,8.0,0.0,1.0
604,060014506023,4.0,0.0,1.0
605,060014506031,4.0,0.0,1.0
606,060014506033,12.0,4.0,1.0
607,060014506034,4.5,0.0,0.9375
608,060014506041,4.0,0.0,1.0
609,060014506042,4.0,0.0,1.0
610,060014506043,4.0,4.0,1.0
611,060014506044,1.5,0.0,0.0
612,060014506052,4.0,4.0,1.0
613,060014506053,5.0,0.0,0.0
614,060014506061,4.0,0.0,0.0
615,060014506063,12.0,8.0,0.6666666666666666
616,060014506071,5.5,0.0,0.0
617,060014506072,8.0,8.0,1.0
618,060014507011,4.0,0.0,0.0
619,060014507013,8.0,4.0,0.0
620,060014507014,6.0,6.0,1.0
621,060014507411,4.0,0.0,1.0
622,060014507413,10.0,4.0,1.0
623,060014507421,7.0,0.0,0.625
624,060014507422,8.0,0.0,0.5
625,060014507423,9.0,0.0,1.0
626,060014507431,4.0,4.0,1.0
627,060014507432,8.0,4.0,0.5
628,060014507441,21.5,10.0,0.8913043478260869
629,060014507451,8.0,4.0,1.0
630,060014507452,16.0,4.0,0.25
631,060014507461,16.0,12.0,0.5
632,060014507501,30.0,4.0,0.7694145758661889
633,060014507511,41.5,12.0,0.5825757575757575
634,060014507521,30.0,18.0,0.7333333333333333
635,060014511011,13.5,4.0,0.8333333333333333
636,060014511012,4.0,0.0,1.0
637,060014511013,8.0,0.0,1.0
638,060014511021,8.0,0.0,0.5
639,060014511022,12.5,4.0,0.32291666666666663
640,060014512011,23.0,4.0,0.6521739130434784
641,060014512012,8.0,0.0,1.0
642,060014512021,4.0,0.0,1.0
643,060014512023,5.0,0.0,1.0
644,060014513001,9.0,0.0,0.5555555555555555
645,060014513002,4.0,4.0,1.0
646,060014513003,8.0,4.0,1.0
647,060014514011,4.5,0.0,0.0
648,060014514012,8.0,0.0,1.0
649,060014514041,8.0,0.0,1.0
650,060014514042,4.0,0.0,0.0
651,060014514043,9.0,0.0,0.5
652,060014515011,7.5,4.0,0.5625
653,060014515012,14.0,0.0,0.29166666666666663
654,060014515031,26.0,8.0,0.4736607142857143
655,060014515034,15.0,0.0,0.46666666666666673
656,060014515041,8.0,0.0,0.0
657,060014515052,12.0,4.0,0.6666666666666666
658,060014515061,17.0,8.0,0.5294117647058824
659,060014515062,4.0,4.0,1.0
660,060014516011,8.5,4.0,0.47916666666666663
661,060014516012,16.0,8.0,0.75
662,060014516021,1.5,0.0,0.0
663,060014516023,4.0,4.0,0.0
664,060014517011,11.0,0.0,0.6363636363636364
665,060014517013,4.0,0.0,1.0
666,060014517031,16.0,8.0,0.25
667,060014517032,4.0,0.0,0.0
668,060014517042,3.5,0.0,0.0
669,060750101001,6.0,0.0,0.0
670,060750102001,4.0,4.0,0.0
671,060750102003,4.0,4.0,1.0
672,060750103002,3.0,0.0,0.0
673,060750104003,5.5,4.0,0.8125
674,060750106002,2.5,0.0,0.0
675,060750106003,4.0,0.0,0.0
676,060750109001,3.0,0.0,0.0
677,060750111001,14.0,10.0,0.7142857142857143
678,060750111002,8.0,4.0,1.0
679,060750117002,4.25,0.0,0.9199999999999999
680,060750124021,6.5,4.0,0.0
681,060750124022,4.0,0.0,0.0
682,060750124023,8.5,8.0,0.47916666666666663
683,060750125012,4.0,4.0,1.0
684,060750128004,4.0,4.0,0.0
685,060750131012,2.5,0.0,0.0
686,060750132001,8.0,4.0,1.0
687,060750152001,8.0,8.0,1.0
688,060750156003,4.0,4.0,0.0
689,060750157001,2.5,0.0,0.0
690,060750157002,8.0,0.0,0.5
691,060750157003,4.0,4.0,1.0
692,060750157004,4.0,4.0,1.0
693,060750158012,4.0,0.0,0.0
694,060750158013,4.0,0.0,0.0
695,060750158022,4.0,0.0,0.0
696,060750159001,4.0,4.0,1.0
697,060750161003,2.0,0.0,0.0
698,060750161004,4.0,4.0,1.0
699,060750163001,2.0,0.0,0.0
700,060750163003,1.875,0.0,0.0
701,060750166004,2.5,0.0,1.0
