,before,after,instrument
0,14.5,0.0,0.29166666666666663
1,6.0,4.0,0.0
2,0.5,0.0,0.0
3,4.5,4.0,0.0
4,8.0,0.0,0.0
5,5.25,4.0,0.0
6,28.75,21.0,0.6042939244663382
7,18.5,9.0,0.0
8,4.0,4.0,1.0
9,9.0,4.0,0.9166666666666666
10,15.0,0.0,0.0
11,6.5,0.0,0.0
12,4.0,0.0,0.0
13,5.0,0.0,0.0
14,11.25,8.0,0.4067982456140351
15,14.5,4.0,0.0
16,4.0,0.0,0.0
17,7.0,4.0,0.0
18,0.5,0.0,0.0
19,3.0,0.0,0.0
20,20.0,20.0,0.0
21,4.0,0.0,0.0
22,7.75,4.0,0.0
23,1.5,0.0,0.0
24,4.0,0.0,1.0
25,4.0,4.0,1.0
26,3.0,0.0,0.0
27,4.0,0.0,0.0
28,4.0,0.0,0.0
29,8.0,4.0,0.0
30,4.0,0.0,0.0
31,1.5,0.0,0.0
32,4.5,4.0,0.9375
33,6.0,0.0,1.0
34,4.0,0.0,0.0
35,10.875,0.0,0.0
36,12.0,0.0,0.3333333333333333
37,8.0,0.0,0.5
38,22.0,13.0,0.18285714285714286
39,9.0,4.0,0.5833333333333333
40,29.0,20.0,0.5686274509803921
41,13.5,4.0,0.36874999999999997
42,5.0,5.0,1.0
43,2.0,0.0,0.0
44,12.5,4.0,0.6458333333333333
45,19.875,0.0,0.0
46,11.0,7.0,0.6363636363636364
47,19.5,4.0,0.21327231121281462
48,2.0,0.0,0.0
49,9.5,0.0,0.0
50,16.0,12.0,0.25
51,19.5,8.0,0.0
52,12.0,8.0,0.3333333333333333
53,4.0,4.0,0.0
54,23.0,12.0,0.0
55,16.0,4.0,0.75
56,10.5,4.0,0.3958333333333333
57,12.5,4.0,0.33928571428571425
58,6.25,4.0,0.0
59,3.5,0.0,0.0
60,12.0,4.0,0.5142857142857142
61,8.0,4.0,0.5
62,20.0,0.0,0.45378151260504196
63,14.0,4.0,0.0
64,16.0,8.0,0.25
65,23.0,4.0,0.17523809523809525
66,6.5,0.0,0.0
67,4.0,0.0,1.0
68,15.0,5.0,0.0
69,13.0,12.0,0.625
70,15.0,4.0,0.2708333333333333
71,7.5,0.0,0.7395833333333333
72,16.5,4.0,0.0
73,7.5,0.0,0.5625
74,17.5,0.0,0.0
75,18.0,0.0,0.3104166666666667
76,15.5,8.0,0.2604166666666667
77,51.5,28.0,0.15607085346215782
78,35.5,8.0,0.4555555555555556
79,25.0,12.0,0.32619047619047614
80,18.5,8.0,0.0
81,7.0,4.0,0.0
82,12.0,8.0,0.3333333333333333
83,10.0,8.0,0.0
84,27.0,17.0,0.15173608001194208
85,17.5,0.0,0.0
86,23.5,18.0,0.18187759952465837
87,20.0,4.0,0.44880952380952377
88,16.0,12.0,0.5
89,14.5,8.0,0.28125
90,16.0,8.0,0.5
91,26.5,8.0,0.23344988344988346
92,16.0,4.0,0.25
93,32.0,22.0,0.18885448916408668
94,6.0,6.0,0.0
95,10.5,8.0,0.0
96,6.5,4.0,0.6875
97,8.0,4.0,0.0
98,10.5,0.0,0.0
99,8.0,4.0,0.5
100,4.0,0.0,1.0
101,4.0,0.0,0.0
102,4.0,0.0,1.0
103,4.0,0.0,0.0
104,2.5,0.0,0.0
105,3.5,0.0,0.0
106,4.0,0.0,1.0
107,2.5,0.0,0.0
108,4.0,0.0,0.0
109,5.0,0.0,0.0
110,8.0,4.0,0.5
111,6.0,0.0,0.75
112,23.0,4.0,0.7095238095238094
113,16.0,4.0,0.25
114,0.5,0.0,0.0
115,1.5,0.0,0.0
116,11.0,4.0,0.3636363636363637
117,14.5,4.0,0.28125
118,7.375,0.0,0.0
119,2.0,0.0,0.0
120,19.0,11.0,0.36842105263157887
121,4.0,4.0,1.0
122,4.0,0.0,1.0
123,5.5,0.0,0.7142857142857143
124,4.0,0.0,1.0
125,8.0,4.0,0.5
126,4.0,0.0,0.0
127,4.0,4.0,1.0
128,8.0,0.0,0.5
129,4.0,4.0,1.0
130,2.0,0.0,0.0
131,2.5,0.0,0.0
132,22.875,8.0,0.17886904761904762
133,12.0,0.0,0.3333333333333333
134,9.0,4.0,0.4583333333333333
135,18.5,0.0,0.0
136,13.5,0.0,0.0
137,15.0,4.0,0.2708333333333333
138,11.0,4.0,0.7708333333333333
139,18.5,0.0,0.28726708074534163
140,29.0,13.0,0.4482758620689654
141,27.5,0.0,0.624221525600836
142,23.0,0.0,0.6118881118881119
143,8.5,4.0,0.47916666666666663
144,7.0,0.0,0.0
145,12.0,0.0,0.6666666666666666
146,17.0,4.0,0.5294117647058824
147,23.0,6.0,0.3496503496503497
148,19.75,0.0,0.48339160839160844
149,10.5,0.0,0.44791666666666663
150,16.5,8.0,0.4875
151,20.0,8.0,0.0
152,13.0,0.0,0.34791666666666665
153,23.0,8.0,0.30434782608695654
154,46.0,24.0,0.17593161648081557
155,24.5,9.0,0.1659113300492611
156,12.0,4.0,0.0
157,24.0,13.0,0.0
158,18.0,8.0,0.0
159,12.0,8.0,0.0
160,11.0,8.0,0.0
