,before,after,instrument
0,15.5,12.0,0.79375
1,84.625,41.0,0.34846871139115615
2,78.75,28.0,0.3655986810866197
3,28.5,17.0,0.17977067977067976
4,16.5,8.0,0.5
5,47.5,34.0,0.7197722567287784
6,69.5,16.0,0.48157265831059404
7,18.0,4.0,0.23088023088023085
8,191.25,60.0,0.4857750291364577
9,39.5,12.0,0.3049242424242425
10,38.5,12.0,0.5208333333333333
11,219.5,90.0,0.39347179984844183
12,2.5,0.0,1.0
13,67.0,39.0,0.3849408088196443
14,80.125,28.0,0.3671834664491117
15,61.5,40.0,0.7867471988795517
16,4.0,4.0,0.0
17,233.875,127.0,0.2533348598778775
18,12.0,4.0,0.3333333333333333
19,22.0,8.0,0.5454545454545454
20,3.0,0.0,0.0
21,76.625,35.0,0.5517274086181034
22,196.375,41.0,0.32414118216578985
23,50.5,0.0,0.617880529912519
24,25.5,4.0,0.9074074074074074
25,168.25,26.0,0.4596100877801058
26,182.5,67.0,0.4837724058582737
27,213.0,87.0,0.5259945854285476
28,10.0,9.0,0.5128205128205128
29,391.625,164.0,0.39810386928199304
30,43.0,16.0,0.4659090909090909
31,430.375,221.0,0.4061924077302548
32,114.0,36.0,0.42205237780119864
33,209.25,74.0,0.2136806305445408
34,226.0,64.0,0.4974205099303065
35,132.5,34.0,0.6805129557307725
36,46.5,6.0,0.5213708124759336
37,97.0,28.0,0.5158446357266311
38,124.0,49.0,0.2025788347084867
39,6.5,0.0,0.6875
40,155.5,58.0,0.6825145844842571
41,70.0,12.0,0.6875
42,262.5,109.0,0.3305651854869741
43,53.0,20.0,0.22760989010989013
44,51.5,26.0,0.2741545893719807
45,38.5,13.0,0.2089450869938675
46,252.5,32.0,0.7042578699746651
47,32.5,12.0,0.8628472222222222
48,190.5,69.0,0.17515270930985294
49,101.625,24.0,0.3629467893185708
50,190.0,101.0,0.23582688814077754
51,3.0,0.0,0.0
52,164.5,60.0,0.2225666132609878
53,133.375,57.0,0.346542384209045
54,73.25,22.0,0.05859298238690355
55,74.5,41.0,0.4469931163238191
56,66.0,21.0,0.3673916916716914
57,52.25,28.0,0.23309016802869262
58,24.0,8.0,0.42191142191142195
59,8.0,0.0,0.5
60,28.5,16.0,0.5200910029083403
61,78.0,20.0,0.31134135472370766
62,16.0,4.0,0.25
63,37.5,8.0,0.33093516150450597
64,11.375,0.0,0.0
65,60.0,23.0,0.5876677219960802
66,2.0,0.0,0.0
67,47.5,20.0,0.257488344988345
68,8.0,0.0,0.0
69,5.0,0.0,0.0
