,safegraph_place_id,cbg,date,visits,size
0,sg:0044e318bb7747e69f23b64fb846666b,060590320421,2020-05-25,4,0.0
1,sg:0044e318bb7747e69f23b64fb846666b,060590320591,2020-05-25,4,0.0
2,sg:0044e318bb7747e69f23b64fb846666b,060590320484,2020-05-25,4,0.0
3,sg:0044e318bb7747e69f23b64fb846666b,060590320552,2020-05-25,4,0.0
4,sg:0044e318bb7747e69f23b64fb846666b,060590320423,2020-05-25,4,0.0
5,sg:00b32e5bf3674310bc889acd9672a8d7,061030007001,2020-05-25,5,1.0
6,sg:00b32e5bf3674310bc889acd9672a8d7,061030004001,2020-05-25,4,1.0
7,sg:00b32e5bf3674310bc889acd9672a8d7,060890119002,2020-05-25,4,1.0
8,sg:00b32e5bf3674310bc889acd9672a8d7,061030007004,2020-05-25,4,1.0
9,sg:00b32e5bf3674310bc889acd9672a8d7,061030005004,2020-05-25,4,1.0
10,sg:014867a98281449da434ee19557dfa79,060375528002,2020-05-25,10,4.0
11,sg:014867a98281449da434ee19557dfa79,060591100141,2020-05-25,7,4.0
12,sg:014867a98281449da434ee19557dfa79,060375527005,2020-05-25,5,4.0
13,sg:014867a98281449da434ee19557dfa79,060590017072,2020-05-25,4,4.0
14,sg:014867a98281449da434ee19557dfa79,060375549003,2020-05-25,4,4.0
15,sg:014867a98281449da434ee19557dfa79,060375036013,2020-05-25,4,4.0
16,sg:014867a98281449da434ee19557dfa79,060375539013,2020-05-25,4,4.0
17,sg:014867a98281449da434ee19557dfa79,060375545192,2020-05-25,4,4.0
18,sg:014867a98281449da434ee19557dfa79,060371064061,2020-05-25,4,4.0
19,sg:014867a98281449da434ee19557dfa79,060375544063,2020-05-25,4,4.0
20,sg:020d84b63c3542979bda5d5038bda388,060014444002,2020-05-25,8,2.0
21,sg:020d84b63c3542979bda5d5038bda388,060014321001,2020-05-25,4,2.0
22,sg:020d84b63c3542979bda5d5038bda388,060770044042,2020-05-25,4,2.0
23,sg:020d84b63c3542979bda5d5038bda388,060014443021,2020-05-25,4,2.0
24,sg:02c22618862e403aa930bc656b07cc46,061110059091,2020-05-25,7,3.0
25,sg:02c22618862e403aa930bc656b07cc46,061110058022,2020-05-25,6,3.0
26,sg:02c22618862e403aa930bc656b07cc46,061110059012,2020-05-25,4,3.0
27,sg:02c22618862e403aa930bc656b07cc46,061110053041,2020-05-25,4,3.0
28,sg:02c22618862e403aa930bc656b07cc46,061110077002,2020-05-25,4,3.0
29,sg:02c22618862e403aa930bc656b07cc46,060371436023,2020-05-25,4,3.0
30,sg:02c22618862e403aa930bc656b07cc46,061110059101,2020-05-25,4,3.0
31,sg:02c22618862e403aa930bc656b07cc46,061110058021,2020-05-25,4,3.0
32,sg:02c22618862e403aa930bc656b07cc46,061110058013,2020-05-25,4,3.0
33,sg:0300c35e4d8548ef9f4464c77b2a05aa,060014035012,2020-05-25,8,3.0
34,sg:0300c35e4d8548ef9f4464c77b2a05aa,060952507011,2020-05-25,5,3.0
35,sg:0300c35e4d8548ef9f4464c77b2a05aa,060133540023,2020-05-25,4,3.0
36,sg:0300c35e4d8548ef9f4464c77b2a05aa,060014005001,2020-05-25,4,3.0
37,sg:0300c35e4d8548ef9f4464c77b2a05aa,320030036291,2020-05-25,4,3.0
38,sg:0300c35e4d8548ef9f4464c77b2a05aa,060133050004,2020-05-25,4,3.0
39,sg:0300c35e4d8548ef9f4464c77b2a05aa,060014011004,2020-05-25,4,3.0
40,sg:0300c35e4d8548ef9f4464c77b2a05aa,060190031041,2020-05-25,4,3.0
41,sg:0370c1de515c49a29e1f4f6fe1a0846e,060650436012,2020-05-25,6,1.0
42,sg:0370c1de515c49a29e1f4f6fe1a0846e,060710020102,2020-05-25,4,1.0
43,sg:0370c1de515c49a29e1f4f6fe1a0846e,060650513002,2020-05-25,4,1.0
44,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730034042,2020-05-25,10,4.0
45,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730118022,2020-05-25,4,4.0
46,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730083442,2020-05-25,4,4.0
47,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730025012,2020-05-25,4,4.0
48,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730141021,2020-05-25,4,4.0
49,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730131042,2020-05-25,4,4.0
50,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730024022,2020-05-25,4,4.0
51,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060730033012,2020-05-25,4,4.0
52,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0,060371373022,2020-05-25,4,4.0
53,sg:03e01e84d5804726b62e61488c58d7ee,060470008022,2020-05-25,4,2.0
54,sg:03e01e84d5804726b62e61488c58d7ee,060990008062,2020-05-25,4,2.0
55,sg:03e01e84d5804726b62e61488c58d7ee,060990038031,2020-05-25,4,2.0
56,sg:03e01e84d5804726b62e61488c58d7ee,060350405001,2020-05-25,4,2.0
57,sg:03e01e84d5804726b62e61488c58d7ee,060990038022,2020-05-25,4,2.0
58,sg:03e01e84d5804726b62e61488c58d7ee,060990038051,2020-05-25,4,2.0
59,sg:0435bac93e1f4f67b13d636a05b70fba,060590881051,2020-05-25,6,4.0
60,sg:0435bac93e1f4f67b13d636a05b70fba,060590218201,2020-05-25,4,4.0
61,sg:0435bac93e1f4f67b13d636a05b70fba,060590626143,2020-05-25,4,4.0
62,sg:0435bac93e1f4f67b13d636a05b70fba,060590870022,2020-05-25,4,4.0
63,sg:0435bac93e1f4f67b13d636a05b70fba,060590881062,2020-05-25,4,4.0
64,sg:043da4501d754e3ea441111bbae1da6d,060373017022,2020-05-25,12,4.0
65,sg:043da4501d754e3ea441111bbae1da6d,060373025062,2020-05-25,4,4.0
66,sg:043da4501d754e3ea441111bbae1da6d,060371281021,2020-05-25,4,4.0
67,sg:043da4501d754e3ea441111bbae1da6d,060374803032,2020-05-25,4,4.0
68,sg:055e690cb4834327b983888dc63eaec0,060670055023,2020-05-25,15,5.0
69,sg:055e690cb4834327b983888dc63eaec0,060670055022,2020-05-25,11,5.0
70,sg:055e690cb4834327b983888dc63eaec0,060670073011,2020-05-25,7,5.0
71,sg:055e690cb4834327b983888dc63eaec0,060670048013,2020-05-25,4,5.0
72,sg:055e690cb4834327b983888dc63eaec0,060670063001,2020-05-25,4,5.0
73,sg:055e690cb4834327b983888dc63eaec0,060670055021,2020-05-25,4,5.0
74,sg:055e690cb4834327b983888dc63eaec0,060670068002,2020-05-25,4,5.0
75,sg:055e690cb4834327b983888dc63eaec0,061130101024,2020-05-25,4,5.0
76,sg:055e690cb4834327b983888dc63eaec0,060670070161,2020-05-25,4,5.0
77,sg:055e690cb4834327b983888dc63eaec0,060670011011,2020-05-25,4,5.0
78,sg:055e690cb4834327b983888dc63eaec0,060990009123,2020-05-25,4,5.0
79,sg:055e690cb4834327b983888dc63eaec0,060670070182,2020-05-25,4,5.0
80,sg:055e690cb4834327b983888dc63eaec0,060670018004,2020-05-25,4,5.0
81,sg:055e690cb4834327b983888dc63eaec0,060670074273,2020-05-25,4,5.0
82,sg:055e690cb4834327b983888dc63eaec0,060670093141,2020-05-25,4,5.0
83,sg:055e690cb4834327b983888dc63eaec0,060610210031,2020-05-25,4,5.0
84,sg:059bcb153fd844aab0af4ac300a028b0,060730147004,2020-05-25,4,3.0
85,sg:06b8545fe5af492e9db30afda44675f5,060730029043,2020-05-25,5,4.0
86,sg:06b8545fe5af492e9db30afda44675f5,060730188024,2020-05-25,4,4.0
87,sg:06b8545fe5af492e9db30afda44675f5,060730083552,2020-05-25,4,4.0
88,sg:06b8545fe5af492e9db30afda44675f5,484391140074,2020-05-25,4,4.0
89,sg:06b8545fe5af492e9db30afda44675f5,060730170442,2020-05-25,4,4.0
90,sg:06b8545fe5af492e9db30afda44675f5,320030058231,2020-05-25,4,4.0
91,sg:06b8545fe5af492e9db30afda44675f5,060730170351,2020-05-25,4,4.0
92,sg:06b8545fe5af492e9db30afda44675f5,060730083571,2020-05-25,4,4.0
93,sg:06b8545fe5af492e9db30afda44675f5,060730170431,2020-05-25,4,4.0
94,sg:06c3d496093a4248ae183b85e565d321,060590320572,2020-05-25,12,5.0
95,sg:06c3d496093a4248ae183b85e565d321,060590320565,2020-05-25,6,5.0
96,sg:06c3d496093a4248ae183b85e565d321,060590320592,2020-05-25,4,5.0
97,sg:06c3d496093a4248ae183b85e565d321,060590320571,2020-05-25,4,5.0
98,sg:06c3d496093a4248ae183b85e565d321,060590423242,2020-05-25,4,5.0
99,sg:06c3d496093a4248ae183b85e565d321,060590320452,2020-05-25,4,5.0
100,sg:06c3d496093a4248ae183b85e565d321,060590320591,2020-05-25,4,5.0
101,sg:06c3d496093a4248ae183b85e565d321,060590320534,2020-05-25,4,5.0
102,sg:06c3d496093a4248ae183b85e565d321,060590320463,2020-05-25,4,5.0
103,sg:06c3d496093a4248ae183b85e565d321,060590320442,2020-05-25,4,5.0
104,sg:06c3d496093a4248ae183b85e565d321,060590320563,2020-05-25,4,5.0
105,sg:071d6c03fcb94696a840ab9759f1db9d,060372410012,2020-05-25,6,4.0
106,sg:071d6c03fcb94696a840ab9759f1db9d,060372430001,2020-05-25,4,4.0
107,sg:071d6c03fcb94696a840ab9759f1db9d,060372411202,2020-05-25,4,4.0
108,sg:071d6c03fcb94696a840ab9759f1db9d,060375409011,2020-05-25,4,4.0
109,sg:071d6c03fcb94696a840ab9759f1db9d,060375702041,2020-05-25,4,4.0
110,sg:071d6c03fcb94696a840ab9759f1db9d,060375704042,2020-05-25,4,4.0
111,sg:071d6c03fcb94696a840ab9759f1db9d,060376007041,2020-05-25,4,4.0
112,sg:07b09e7df4d447f8ae053a38baefadfe,060670094072,2020-05-25,5,4.0
113,sg:07b09e7df4d447f8ae053a38baefadfe,060990026041,2020-05-25,5,4.0
114,sg:07b09e7df4d447f8ae053a38baefadfe,060990030013,2020-05-25,4,4.0
115,sg:07b09e7df4d447f8ae053a38baefadfe,060990025011,2020-05-25,4,4.0
116,sg:07b09e7df4d447f8ae053a38baefadfe,060990026032,2020-05-25,4,4.0
117,sg:08421cb051534664bbf0e366b72ca2ef,060816120002,2020-05-25,5,4.0
118,sg:08421cb051534664bbf0e366b72ca2ef,060816103021,2020-05-25,5,4.0
119,sg:08ab90a0c249441493272b76da8adbce,121010319022,2020-05-25,4,1.0
120,sg:08ab90a0c249441493272b76da8adbce,060372211202,2020-05-25,4,1.0
121,sg:08ab90a0c249441493272b76da8adbce,040190005006,2020-05-25,4,1.0
122,sg:08ab90a0c249441493272b76da8adbce,060372171001,2020-05-25,4,1.0
123,sg:08ab90a0c249441493272b76da8adbce,060374002071,2020-05-25,4,1.0
124,sg:0900cb1b89dd4091bd70572b9291d2b2,060590524241,2020-05-25,9,3.0
125,sg:0900cb1b89dd4091bd70572b9291d2b2,060375767003,2020-05-25,6,3.0
126,sg:0900cb1b89dd4091bd70572b9291d2b2,060375753001,2020-05-25,4,3.0
127,sg:0900cb1b89dd4091bd70572b9291d2b2,060590883022,2020-05-25,4,3.0
128,sg:0900cb1b89dd4091bd70572b9291d2b2,060375771004,2020-05-25,4,3.0
129,sg:0902ae7f9b614fc8b1806b0ea32110b0,060670056012,2020-05-25,4,1.0
130,sg:0971db1cb9944a31a08bb4d69f627965,060379203381,2020-05-25,7,5.0
131,sg:0971db1cb9944a31a08bb4d69f627965,060379203292,2020-05-25,6,5.0
132,sg:0971db1cb9944a31a08bb4d69f627965,060379201182,2020-05-25,6,5.0
133,sg:0971db1cb9944a31a08bb4d69f627965,060379203391,2020-05-25,4,5.0
134,sg:0971db1cb9944a31a08bb4d69f627965,060379203303,2020-05-25,4,5.0
135,sg:0971db1cb9944a31a08bb4d69f627965,060379201061,2020-05-25,4,5.0
136,sg:0971db1cb9944a31a08bb4d69f627965,060379200423,2020-05-25,4,5.0
137,sg:0971db1cb9944a31a08bb4d69f627965,060379203313,2020-05-25,4,5.0
138,sg:0971db1cb9944a31a08bb4d69f627965,060379201041,2020-05-25,4,5.0
139,sg:0971db1cb9944a31a08bb4d69f627965,060379203343,2020-05-25,4,5.0
140,sg:0971db1cb9944a31a08bb4d69f627965,061070020071,2020-05-25,4,5.0
141,sg:0971db1cb9944a31a08bb4d69f627965,060014421001,2020-05-25,4,5.0
142,sg:0971db1cb9944a31a08bb4d69f627965,060379201023,2020-05-25,4,5.0
143,sg:0971db1cb9944a31a08bb4d69f627965,060379200391,2020-05-25,4,5.0
144,sg:0971db1cb9944a31a08bb4d69f627965,160659503012,2020-05-25,4,5.0
145,sg:0971db1cb9944a31a08bb4d69f627965,060371233011,2020-05-25,4,5.0
146,sg:0971db1cb9944a31a08bb4d69f627965,060379203344,2020-05-25,4,5.0
147,sg:0971db1cb9944a31a08bb4d69f627965,060371134213,2020-05-25,4,5.0
148,sg:0971db1cb9944a31a08bb4d69f627965,060379201081,2020-05-25,4,5.0
149,sg:09a28276cfa9437883723eab1c16dbd7,060952529091,2020-05-25,30,6.0
150,sg:09a28276cfa9437883723eab1c16dbd7,060952501041,2020-05-25,11,6.0
151,sg:09a28276cfa9437883723eab1c16dbd7,060952529141,2020-05-25,8,6.0
152,sg:09a28276cfa9437883723eab1c16dbd7,060952529042,2020-05-25,6,6.0
153,sg:09a28276cfa9437883723eab1c16dbd7,060952529092,2020-05-25,6,6.0
154,sg:09a28276cfa9437883723eab1c16dbd7,060952529152,2020-05-25,5,6.0
155,sg:09a28276cfa9437883723eab1c16dbd7,061130107011,2020-05-25,4,6.0
156,sg:09a28276cfa9437883723eab1c16dbd7,060952531052,2020-05-25,4,6.0
157,sg:09a28276cfa9437883723eab1c16dbd7,060952531062,2020-05-25,4,6.0
158,sg:09a28276cfa9437883723eab1c16dbd7,060952527026,2020-05-25,4,6.0
159,sg:09a28276cfa9437883723eab1c16dbd7,060952529151,2020-05-25,4,6.0
160,sg:09a28276cfa9437883723eab1c16dbd7,060952531054,2020-05-25,4,6.0
161,sg:09a28276cfa9437883723eab1c16dbd7,060952529143,2020-05-25,4,6.0
162,sg:09a28276cfa9437883723eab1c16dbd7,060952523171,2020-05-25,4,6.0
163,sg:09a28276cfa9437883723eab1c16dbd7,060952529124,2020-05-25,4,6.0
164,sg:09a28276cfa9437883723eab1c16dbd7,060952532062,2020-05-25,4,6.0
165,sg:09a28276cfa9437883723eab1c16dbd7,060952529034,2020-05-25,4,6.0
166,sg:09a28276cfa9437883723eab1c16dbd7,060952529082,2020-05-25,4,6.0
167,sg:09a28276cfa9437883723eab1c16dbd7,060952532051,2020-05-25,4,6.0
168,sg:09a28276cfa9437883723eab1c16dbd7,060952529111,2020-05-25,4,6.0
169,sg:0a3f24cda4df498982466d3d8cbc0587,060730039022,2020-05-25,4,2.0
170,sg:0a3f24cda4df498982466d3d8cbc0587,060730116021,2020-05-25,4,2.0
171,sg:0a3f24cda4df498982466d3d8cbc0587,060730048001,2020-05-25,4,2.0
172,sg:0a3f24cda4df498982466d3d8cbc0587,060730031122,2020-05-25,4,2.0
173,sg:0a3f24cda4df498982466d3d8cbc0587,060730118023,2020-05-25,4,2.0
174,sg:0a81aeb748d3458b831aeca223ea21ed,060710035052,2020-05-25,4,3.0
175,sg:0a81aeb748d3458b831aeca223ea21ed,060710062041,2020-05-25,4,3.0
176,sg:0a81aeb748d3458b831aeca223ea21ed,060710044012,2020-05-25,4,3.0
177,sg:0a81aeb748d3458b831aeca223ea21ed,060710062042,2020-05-25,4,3.0
178,sg:0a81aeb748d3458b831aeca223ea21ed,060710056005,2020-05-25,4,3.0
179,sg:0ab773818d504c35ac47d629694516b2,060290031123,2020-05-25,5,4.0
180,sg:0ab773818d504c35ac47d629694516b2,060290032061,2020-05-25,5,4.0
181,sg:0ab773818d504c35ac47d629694516b2,060290032022,2020-05-25,5,4.0
182,sg:0ab773818d504c35ac47d629694516b2,060290009061,2020-05-25,4,4.0
183,sg:0ab773818d504c35ac47d629694516b2,060290031214,2020-05-25,4,4.0
184,sg:0ab773818d504c35ac47d629694516b2,060290032031,2020-05-25,4,4.0
185,sg:0ab773818d504c35ac47d629694516b2,060290064042,2020-05-25,4,4.0
186,sg:0ab773818d504c35ac47d629694516b2,060290032024,2020-05-25,4,4.0
187,sg:0ab773818d504c35ac47d629694516b2,060590626141,2020-05-25,4,4.0
188,sg:0ab773818d504c35ac47d629694516b2,060290018022,2020-05-25,4,4.0
189,sg:0b9dec2ac8a941e4a324e9c0dd883f71,060750232002,2020-05-25,9,3.0
190,sg:0b9dec2ac8a941e4a324e9c0dd883f71,060816024001,2020-05-25,4,3.0
191,sg:0b9dec2ac8a941e4a324e9c0dd883f71,060750309002,2020-05-25,4,3.0
192,sg:0b9dec2ac8a941e4a324e9c0dd883f71,060750124023,2020-05-25,4,3.0
193,sg:0cb3ba98f99a489ba35ee01a2cff76cd,060290051041,2020-05-25,8,4.0
194,sg:0cb3ba98f99a489ba35ee01a2cff76cd,060290009103,2020-05-25,7,4.0
195,sg:0cb3ba98f99a489ba35ee01a2cff76cd,060290024001,2020-05-25,4,4.0
196,sg:0cb3ba98f99a489ba35ee01a2cff76cd,060290012023,2020-05-25,4,4.0
197,sg:0cb3ba98f99a489ba35ee01a2cff76cd,060290011011,2020-05-25,4,4.0
198,sg:0cb3ba98f99a489ba35ee01a2cff76cd,060290010001,2020-05-25,4,4.0
199,sg:0dd07f34453144998215d6fdae05971c,060790112003,2020-05-25,5,4.0
200,sg:0dd07f34453144998215d6fdae05971c,060790119023,2020-05-25,4,4.0
201,sg:0dd07f34453144998215d6fdae05971c,060650315012,2020-05-25,4,4.0
202,sg:0dd07f34453144998215d6fdae05971c,060830020111,2020-05-25,4,4.0
203,sg:0dd07f34453144998215d6fdae05971c,060790112001,2020-05-25,4,4.0
204,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060133032013,2020-05-25,5,1.0
205,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060770052072,2020-05-25,4,1.0
206,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060770053031,2020-05-25,4,1.0
207,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060770053023,2020-05-25,4,1.0
208,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060770015001,2020-05-25,4,1.0
209,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060770052063,2020-05-25,4,1.0
210,sg:0e0cc991e36b44df9e1f8cacbb4b6ee5,060770052082,2020-05-25,4,1.0
211,sg:0ebdc92df40b4201968bf84f791709c5,060770051262,2020-05-25,5,2.0
212,sg:0ebdc92df40b4201968bf84f791709c5,060770051191,2020-05-25,4,2.0
213,sg:0ebdc92df40b4201968bf84f791709c5,060990005103,2020-05-25,4,2.0
214,sg:0ebdc92df40b4201968bf84f791709c5,060770051342,2020-05-25,4,2.0
215,sg:0ebdc92df40b4201968bf84f791709c5,060770051093,2020-05-25,4,2.0
216,sg:0ecdee5a601343ccb34864ecb2951e74,060014303001,2020-05-25,4,1.0
217,sg:0ecdee5a601343ccb34864ecb2951e74,060650465001,2020-05-25,4,1.0
218,sg:0efc0030f5c341499d55aa245b9b9372,060590423301,2020-05-25,7,6.0
219,sg:0efc0030f5c341499d55aa245b9b9372,060590423352,2020-05-25,4,6.0
220,sg:0efc0030f5c341499d55aa245b9b9372,060590626402,2020-05-25,4,6.0
221,sg:0efc0030f5c341499d55aa245b9b9372,060590423343,2020-05-25,4,6.0
222,sg:0efc0030f5c341499d55aa245b9b9372,060590626392,2020-05-25,4,6.0
223,sg:0efc0030f5c341499d55aa245b9b9372,060590423273,2020-05-25,4,6.0
224,sg:0efc0030f5c341499d55aa245b9b9372,060590423361,2020-05-25,4,6.0
225,sg:0efc0030f5c341499d55aa245b9b9372,060590423113,2020-05-25,4,6.0
226,sg:0efc0030f5c341499d55aa245b9b9372,060590626382,2020-05-25,4,6.0
227,sg:0efc0030f5c341499d55aa245b9b9372,060590423311,2020-05-25,4,6.0
228,sg:0efc0030f5c341499d55aa245b9b9372,060590758061,2020-05-25,4,6.0
229,sg:0f4dd15d71ae40be99d62dbdb16af8e0,060710023042,2020-05-25,4,2.0
230,sg:0f4dd15d71ae40be99d62dbdb16af8e0,060650427201,2020-05-25,4,2.0
231,sg:0f4dd15d71ae40be99d62dbdb16af8e0,060710088001,2020-05-25,4,2.0
232,sg:0f4dd15d71ae40be99d62dbdb16af8e0,060650311003,2020-05-25,4,2.0
233,sg:0f7d4b185f5b469a93b1d3f4974251b5,060650424021,2020-05-25,5,4.0
234,sg:0f7d4b185f5b469a93b1d3f4974251b5,060710020372,2020-05-25,5,4.0
235,sg:0f7d4b185f5b469a93b1d3f4974251b5,060650417031,2020-05-25,4,4.0
236,sg:0f7d4b185f5b469a93b1d3f4974251b5,060650417032,2020-05-25,4,4.0
237,sg:0f7d4b185f5b469a93b1d3f4974251b5,060710080013,2020-05-25,4,4.0
238,sg:0f7d4b185f5b469a93b1d3f4974251b5,060710083013,2020-05-25,4,4.0
239,sg:0f7d4b185f5b469a93b1d3f4974251b5,060650414091,2020-05-25,4,4.0
240,sg:0f7d4b185f5b469a93b1d3f4974251b5,060371011103,2020-05-25,4,4.0
241,sg:1002c5febad9430ba609308f02cd6e8e,060375039012,2020-05-25,5,3.0
242,sg:1002c5febad9430ba609308f02cd6e8e,483810203001,2020-05-25,4,3.0
