,before,after,instrument
330,7.5,4.0,0.6458333333333333
331,21.5,17.0,0.43210084033613444
332,15.0,4.0,0.26666666666666666
333,23.0,12.0,0.3928571428571428
334,20.0,4.0,0.20416666666666666
335,16.125,0.0,0.5217086834733894
336,16.5,8.0,0.5
337,12.0,12.0,0.6666666666666666
338,5.125,4.0,0.9134615384615384
339,16.75,8.0,0.539044289044289
340,21.0,13.0,0.6365266106442576
341,35.0,12.0,0.11577380952380953
342,12.5,8.0,0.0
343,9.5,4.0,0.4375
344,13.0,4.0,0.3076923076923077
345,5.5,0.0,0.0
