,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,base,size
11467,sg:f8228abd6a9b4905915cfe8b3b39158e,The Church of Jesus Christ of Latter day Saints,35.403290999999996,-118.93086799999999,Bakersfield,CA,93306,06,06029,Kern County,060290009102,137.0,149.0,125.0,93.0,47.0,53.0,55.0,137.0,5.0
11468,sg:f83035b43cba48f9a656cd5927e24f36,All People Unity Baptist,34.050478000000005,-117.20051399999998,Redlands,CA,92373,06,06071,San Bernardino County,060710078003,60.0,64.0,60.0,37.0,22.0,28.0,23.0,62.0,4.0
11469,sg:f83520e5df9d4af391950d739b482d66,Apostolic Tabernacle UPC,37.296493,-120.43789699999999,Merced,CA,95340,06,06047,Merced County,060470014022,49.0,82.0,40.0,62.0,12.0,11.0,16.0,61.0,4.0
11470,sg:f83c2020f68c46469ead2f437b7e7251,Jehovah's Wetness's,39.434651,-121.571205,Palermo,CA,95968,06,06007,Butte County,060070033003,40.0,48.0,51.0,30.0,0.0,8.0,3.0,49.5,3.0
11471,sg:f8429ccfc4d74d03a26c86d108dce047,Church In San Diego,32.906428000000005,-117.17598899999999,San Diego,CA,92121,06,06073,San Diego County,060730083502,14.0,14.0,10.0,2.0,2.0,5.0,1.0,12.0,1.0
11472,sg:f850c15bdec2432b95dda53749cbbe97,Baldwin Hills Baptist Church,34.018908,-118.349318,Los Angeles,CA,90016,06,06037,Los Angeles County,060372362031,145.0,157.0,112.0,94.0,60.0,78.0,56.0,134.5,5.0
11473,sg:f862c6d0a9ee4c06a5bd3410f7016553,New Pilgrim Missionary Baptist Church,33.964338,-118.274092,Los Angeles,CA,90003,06,06037,Los Angeles County,060372397012,20.0,26.0,12.0,14.0,16.0,11.0,15.0,19.0,1.0
11474,sg:f862cbb42a204b07a10daba518f9e187,Iglesia C Eben Ezer P CENTRAL,33.828922,-118.06609099999999,Hawaiian Gardens,CA,90716,06,06037,Los Angeles County,060375552121,101.0,95.0,79.0,70.0,45.0,60.0,66.0,87.0,4.0
11475,sg:f8643cfd81444aefb2c4a01697738ae6,Grace Community Church of Riverside,33.92798,-117.45216200000002,Riverside,CA,92503,06,06065,Riverside County,060650316024,49.0,65.0,46.0,37.0,6.0,4.0,20.0,55.5,4.0
11476,sg:f86f6cc5ae5b4e4fb8ad80ccb15fb537,St John The Evangelist Catholic Church,37.734018,-122.42704199999999,San Francisco,CA,94112,06,06075,San Francisco County,060750255001,32.0,24.0,28.0,16.0,2.0,4.0,4.0,26.0,2.0
11477,sg:f8756753e13245aebe332ff16252cccf,Congregational Church of Chatsworth,34.249613000000004,-118.578822,Chatsworth,CA,91311,06,06037,Los Angeles County,060371133032,19.0,13.0,21.0,13.0,8.0,10.0,7.0,17.0,1.0
11478,sg:f87d10956e1a42779ffbbc23a6904494,Catholic Church Sacred Heart,39.364206,-121.703528,Gridley,CA,95948,06,06007,Butte County,060070035013,111.0,96.0,86.0,41.0,12.0,21.0,30.0,91.0,4.0
11479,sg:f88b6343c6af405dbe09f7a04bcea1b1,Garden Grove Church of God,33.766293,-117.98308,Garden Grove,CA,92844,06,06059,Orange County,060590998012,52.0,62.0,44.0,38.0,15.0,14.0,7.0,53.0,4.0
