,safegraph_place_id
160,sg:02d56d0f9d18459c884d52e5bba3aeb3
161,sg:02d6ad8f76d4495dbd95f679fb8d7506
163,sg:02e64975a1db47b8bce9e8a7afcfc52f
165,sg:02fbf9fb0bad47758a765a7c00d31448
166,sg:02ff8c41840d431fafd4e1a8adde4efc
167,sg:0300c35e4d8548ef9f4464c77b2a05aa
168,sg:030217c0593f44d9908a011820129365
169,sg:030d1fe462754ffc94610de5416a10c6
171,sg:032398f366754f028efc05528fd62ea8
173,sg:0328effa93ab4977827fcdbe86612532
174,sg:032a1d7915bb4cdd892e985f1ca6658c
175,sg:032c3a3498f4446a83c82083ef45519b
176,sg:032e479f778d4e98a3963a4b1aab459c
180,sg:0342b990b9af4333aa3ee440671c0bf9
185,sg:03562feeaac64779a8f472b90407a8eb
186,sg:03595a0f475f49d8b55ec8c70913f3f8
187,sg:035b9f5b0b7f4a9187f5d8de42f97c85
188,sg:03600f8d917147d19e95e6ea3abe14c6
189,sg:0360789a2a4b45f4b25edc07e32df4d2
190,sg:0363c4d4d887419492f40f3bb01e2c26
191,sg:036b1a8906994b3f8ed63822634c99d4
193,sg:0370c1de515c49a29e1f4f6fe1a0846e
194,sg:037115a1a2d542dca2473fcc814a1307
195,sg:0376fffae7924e44bace37437ce0b13a
196,sg:037fa214568a42b0882f7698e840f6ba
198,sg:0391a79b57f741098c5315ab669e187c
199,sg:039953df1ea249fc8baf152c48bcf78e
200,sg:0399bd182c5c400a81b4e435cc95a0d0
201,sg:03a13c3e5bb04e35a7c612c3c5965967
202,sg:03a27912481b43f280e7e3c01da72003
203,sg:03aec97a754b485bb3d7db7be17d9547
204,sg:03bbc00fe0514e0c8609aae1e73c276e
206,sg:03beb5ef1122445b9f5465f5310f4f38
207,sg:03c15cb23cfc472a89214b2d6aa8fc8b
208,sg:03c5ec9d2fed4f24900c5f25a6e09703
209,sg:03c90f85726241bf920cdefe3c6bc4f1
210,sg:03cb9073b18f406793b2cc7954bcbb6d
212,sg:03ce1ad6e63a4618b9013de7618756f2
214,sg:03cfb0db82f640489577153acd4120f3
215,sg:03d33aec8f4a4133a44e3968e64cb31f
216,sg:03d3f57f919e4d4681dfa332eed3e786
217,sg:03d5eeecf7bc4e7695dfcfda8b8c9ef0
219,sg:03e01e84d5804726b62e61488c58d7ee
220,sg:03e05ddaddc54a65bdb8437f9a4238c9
223,sg:03e7b3f860b24550836ffc686e43f55b
224,sg:03e9db30d0514b628fae1b21ba5bec85
225,sg:03e9f7af059541ca83197264e757d05b
226,sg:03ebd511b5f34c238cf8f5df63cb5da3
227,sg:03ec24b7f2224dc2a05f8f7da4cc7522
229,sg:03f98917ff8f4f4b832e6df164cbde39
230,sg:03fb363ad3834927a32a9c1992684cfc
231,sg:040ca888d2dd406a851acfe068bccb7e
233,sg:040f2ab94e32441ca64925819bb3e125
236,sg:0416e26191e3404db3ce72511dd3560a
237,sg:041b03ddaf87429f863302da81e26e3c
239,sg:04276403729449d0bbc5b15a8f9b8781
240,sg:042b9d11e50e4be8a8fbe22c592c9ef6
241,sg:0435bac93e1f4f67b13d636a05b70fba
243,sg:043da4501d754e3ea441111bbae1da6d
245,sg:044d77da5d2d41d0b5a359d180cb4dcd
247,sg:045206301d364df69797e9cff800e6fa
249,sg:045f6f26f064459f89747edf2fe174e8
250,sg:0461410ca29e4b80a0acc333ff61634b
251,sg:04644a1eb2f14f06817261c4988650c0
252,sg:0464f36a875642fa89e95ae1d83be7ad
254,sg:047cff329f264b33b1c20711edfbd188
255,sg:047fc85905774046b36f3082187dda00
259,sg:049d4d6fba6a405f9dcf6977fea1e7ce
261,sg:04ab461713b342f3b5a92c2cf02b8ec3
262,sg:04acc2aee3a146b9992c3794a023ad8f
263,sg:04ace6bc4b3742b18dd57b0a23517579
264,sg:04ad7708daf6405d88b74dc4123aa9fb
265,sg:04b34f2856d442e9b4b9e3196d126c7c
266,sg:04b77244433848469efa1e548c41bbb7
268,sg:04c642e6318840279284e891ffbe853a
269,sg:04c92369a6954c8a967e4f0886266cbd
271,sg:04ceb27515fb45a5989bb8266d7d5dde
272,sg:04cecc5923944d86bc7d668d29e33e1b
274,sg:04d19f2ac7c04258b95cf5572055e852
275,sg:04d29a8536a5422ca07e4e08323f61c4
276,sg:04d77988d46e48e0bd87f3e59fcef90d
277,sg:04dc3e5e3ed844aebbcd32152963af0c
279,sg:04e0cf79b0184e12b8d3902475532589
280,sg:04e1d8e03f42422987b3038a0f168eaf
282,sg:04e8340c89094f0ea958d4f7a2163b8b
286,sg:04f1c0a0c2584008bae1385369e45917
287,sg:04f33a52f70c4233b3218c0921ee0dee
288,sg:04fd5508f75149d3a27e7e66fccbaf89
289,sg:0500e7f0597847c4941c7034c9dfca46
291,sg:051099a7c4cc498a92548a8eb8178111
293,sg:051929731fba41c3bce6250cbb139861
294,sg:051953dd58c34a539784cffc9ca08523
295,sg:05200819f2804a788b0f1d5a4bc5cc57
296,sg:052207a1a0c44d69a951a4be9c90d1d8
299,sg:05275c2580d64b13a1dcafbe778ec94d
300,sg:0527bdb5d7714cbe93ac8319bcb1c5e0
301,sg:052e56265d9646bdbdc7881dcfcdb441
304,sg:053ab0866b6b487d8ae033ae797ec2c6
305,sg:053e88c2cb4f4e9e9a701e140b5fcdb6
307,sg:053f3a81cf4243f8ab1b503774e93c81
308,sg:053f7bcdddf3420d8c81d188a7d66f8a
309,sg:053fd56bd4ea45959a3c11b4ac7586e5
310,sg:05426739c6b043a6aeb2dff541f3819a
311,sg:054538f11ef342939180464ad3521172
312,sg:05456d83c7f44335b9bbb8450a6eed7b
314,sg:0547cb1f16564f88a9b0c1485f46395f
315,sg:054b07ffc8df49ba8d178f3865a2a321
316,sg:054c67d5fc274267bce55366c1648fcd
317,sg:054ed8b148ab4b49ab214e9aff11b3b9
318,sg:054f8e0cd8434ad08cd7d8e903d3d549
320,sg:055509b3418841b18e58523e3e38ebeb
321,sg:0557e385009747b9a794730812ada2d2
323,sg:055e690cb4834327b983888dc63eaec0
324,sg:056317f078e344cd8fda52b128bee242
