,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg
16235,sg:e6b372c349fd4e018621d945cadd2fe1,St Matthew Lutheran Church Missouri Synod,33.830944,-118.32633999999999,Torrance,CA,90501,06,06037,Los Angeles County,060376509023
16236,sg:e7c2bdc171a1491a933fe4d2e8b37059,Mission Church of God In Christ,33.928746000000004,-116.86238600000001,Banning,CA,92220,06,06065,Riverside County,060650442002
16237,sg:ecbdfde4da1f4b5fa98d44242b90cf6e,Franciscan Living,38.573843,-121.474672,Sacramento,CA,95816,06,06067,Sacramento County,060670014002
16238,sg:eee8439f481f45bb949ec17ed1328e46,Presbyterian Church First of Garden Grove,33.791182,-117.940665,Garden Grove,CA,92840,06,06059,Orange County,060590883021
16239,sg:0cc52312558c4ef5bf47385b7a74e8e6,Arise Shine International Ministries,35.237173999999996,-119.321455,Taft,CA,93268,,,,
16240,sg:1329021b384346fdaa92869f6bb994fc,Branch Church,32.836634000000004,-117.18124099999999,San Diego,CA,92117,06,06073,San Diego County,060730085051
16241,sg:2186b6daa44740f5825151b5716d2ba8,St Cross Episcopal Church,33.867203,-118.39933,Hermosa Beach,CA,90254,06,06037,Los Angeles County,060376210042
16242,sg:4ad93d7f00404c56af0c768de69eb15d,Saint Bartholomew Catholic Church,33.764154,-118.13375900000001,Long Beach,CA,90803,06,06037,Los Angeles County,060375774002
16243,sg:4b1c1c2dfd0d4cbb91fd2077e13db640,Beachcities Community Church,33.650104,-117.95498,Huntington Beach,CA,92646,06,06059,Orange County,060590992404
16244,sg:50af89ea91bd42429edc41ccd59dae7c,Hope Community Church,34.903376,-120.44906499999999,Santa Maria,CA,93455,06,06083,Santa Barbara County,060830020112
16245,sg:5cb805f52625465698d4e0375090729a,Greater Holy St John Missionary Baptist Church,33.991876,-118.24423700000001,Los Angeles,CA,90011,06,06037,Los Angeles County,060372289001
16246,sg:9952f884f0904578a9a44b67e2b12d3b,Church Of Annunciation,34.115325,-118.004466,Arcadia,CA,91006,06,06037,Los Angeles County,060374314001
16247,sg:a8c0f8123a344f7b8bd3f838391c7020,Yokoji Zen Mountain Center,33.717434999999995,-116.637953,Mountain Center,CA,92561,06,06065,Riverside County,060650444052
16248,sg:c800eb7de13c4f6ea7c20083aed1ce71,Light of the World,33.996173999999996,-117.407602,Riverside,CA,92509,06,06065,Riverside County,060650402031
16249,sg:cce131d69e374febbc3ae66c8e2987a5,Child Evangelism Fellowship,37.967359,-122.002583,Concord,CA,94521,06,06013,Contra Costa County,060133340012
16250,sg:d53cf61d161042b2a9e63208a15e0a32,Upper Lake Community United Methodist Church,39.164516,-122.90299399999999,Upper Lake,CA,95485,06,06033,Lake County,060330001001
16251,sg:e8a45284a79946e792a94747b5577633,Lifehouse Church,38.79889,-121.20639299999999,Rocklin,CA,95677,06,06061,Placer County,060610211092
16252,sg:ea2881f10cab4305af521556ba768d14,First Baptist Church,34.171042,-117.32976699999999,San Bernardino,CA,92407,06,06071,San Bernardino County,060710046015
16253,sg:07094514553440acb344322d9b840f01,St Paul AME Church,34.133823,-117.314203,San Bernardino,CA,92411,06,06071,San Bernardino County,060710042023
16254,sg:07a2b48c86c9499e9d207801c6645d5c,Iglesia De Dios Manantial De Vida,34.58173,-118.114007,Palmdale,CA,93550,06,06037,Los Angeles County,060379105011
16255,sg:1719da827cbb43b4b41da1acb3c7ce70,Church of Christ,33.889022,-118.19810700000001,Compton,CA,90221,06,06037,Los Angeles County,060375421053
16256,sg:17f052eb874d4c4a86e56e7cb90c68a5,Family Community Church,36.852926000000004,-119.740975,Fresno,CA,93720,06,06019,Fresno County,060190055082
16257,sg:1a848097f1274e668d7f83b19acbbc7f,R J M Christian School,34.050584,-118.35123600000001,Los Angeles,CA,90019,06,06037,Los Angeles County,060372171001
16258,sg:1d61ad3ccf5d475cabba85ca4a13fee2,San Fernando Shalom Community Project,34.23238,-118.469001,North Hills,CA,91343,06,06037,Los Angeles County,060371174051
16259,sg:20ce18d3aa5145588276c686ee36a515,Light of Buddha Temple,37.795975,-122.26578300000001,Oakland,CA,94607,06,06001,Alameda County,060014033001
16260,sg:95d83d2e23344778bbc2e4e38705e652,Iglesia Ni Cristo Church of Christ,36.54555,-119.28214299999999,Orosi,CA,93647,06,06107,Tulare County,061070002012
16261,sg:c770e6e012f14e9c83e1a52f52151463,Village Baptist Church,37.670382000000004,-122.138447,San Lorenzo,CA,94580,06,06001,Alameda County,060014360002
16262,sg:dcf98c60366248fc883bc58b9ae65674,Pacific Coast Community Church,33.707359000000004,-117.98076200000001,Huntington Beach,CA,92647,06,06059,Orange County,060590992121
16263,sg:fd29fbfcd6224b68af651f663707b244,St John the Baptist Greek Orthodox Church,36.677719,-121.664556,Salinas,CA,93901,06,06053,Monterey County,060530017002
16264,sg:04c642e6318840279284e891ffbe853a,Trinity Presbyterian Church,38.122207,-122.585329,Novato,CA,94945,06,06041,Marin County,060411021001
16265,sg:05f75a6b26504bea85af6b5bd20cf51d,St Nicholas Russian Orthodox Church,32.749232,-117.114108,San Diego,CA,92104,06,06073,San Diego County,060730024012
16266,sg:10401473c1cd48b88aef65d327a5bd3c,Congregation Lubavitch,33.830751,-118.185445,Long Beach,CA,90807,06,06037,Los Angeles County,060375718003
16267,sg:249a851f18a54f11b1ed867652ecd0bc,La Senda Antigua Iglesia Pentecostal,33.947028,-118.206805,South Gate,CA,90280,06,06037,Los Angeles County,060375358042
16268,sg:31eb43374eb440fc8dd823a143fb8a8d,Community Church Big Bear,34.244310999999996,-116.90912800000001,Big Bear Lake,CA,92315,06,06071,San Bernardino County,060710112052
16269,sg:3458b768eef541ee89032d27217f5910,Seventh Day Adventist Hispanic Church,35.005092,-120.45991000000001,Nipomo,CA,93444,06,06079,San Luis Obispo County,060790123041
16270,sg:39bc4c82504a4548829e0b3fedca5478,Almond Valley Christian Reformed Church,37.73717,-121.136132,Ripon,CA,95366,06,06077,San Joaquin County,060770050013
16271,sg:800b3c471cba422f9fca7c0ab5126e5a,Valley View Church,38.881311,-121.27764199999999,Lincoln,CA,95648,06,06061,Placer County,060610237001
16272,sg:bb6a3a000ad04f3e87c52cb06eddae16,Fair Havens Missionary Outreach,34.009763,-118.10470500000001,Montebello,CA,90640,06,06037,Los Angeles County,060375301012
16273,sg:dd2030388fe440c98edaec533026b1f1,Costa Mesa Seventh Day Adventist Church,33.653929,-117.91028700000001,Costa Mesa,CA,92627,06,06059,Orange County,060590639061
16274,sg:e35ceea4264e4a0bb18cce81b5c81665,Christian Science Society,34.450159,-119.248699,Ojai,CA,93023,06,06111,Ventura County,061110009031
16275,sg:153576ee464846b099b064fe720311d1,CrossPoint Christian Church,33.965313,-118.03314499999999,Whittier,CA,90602,06,06037,Los Angeles County,060375018041
16276,sg:1559f55388144ae4ba970dcd5ba9a916,Iglesia Pentecostal Unida Hispana Montclair,34.062671,-117.716949,Montclair,CA,91763,06,06071,San Bernardino County,060710003011
16277,sg:23253a057fba471a8df581c0284655a5,Faith Presbyterian Church,38.500333000000005,-121.53525400000001,Sacramento,CA,95831,06,06067,Sacramento County,060670040053
16278,sg:2b46985b5f34493488ef96b6de21fd68,The Oaks Church,38.811176,-121.18728999999999,Loomis,CA,95650,06,06061,Placer County,060610206025
16279,sg:551d61f2bb884951a4c0766bdd5dc87e,St Joseph's Catholic Church,34.061276,-117.76878300000001,Pomona,CA,91768,06,06037,Los Angeles County,060374024021
16280,sg:814f27cdfed84604b7e88aa6c1f0392d,Bethany Assembly of God Church,32.57991,-117.085003,San Diego,CA,92154,06,06073,San Diego County,060730101071
16281,sg:9d4f0d1063db448c967f9959e1032891,Westside Vineyard Church,34.003069,-118.432901,Los Angeles,CA,90066,06,06037,Los Angeles County,060372723021
16282,sg:9ebfbc7edcac4470826460374293910e,The Church of Our Saviour Episcopal Parish,34.110119,-118.10831200000001,San Gabriel,CA,91775,06,06037,Los Angeles County,060374802011
16283,sg:bc3594ad5f314c478224d9e5690d8daa,Sandals Church Palm Avenue,33.949462,-117.401913,Riverside,CA,92506,06,06065,Riverside County,060650310013
16284,sg:d7b696cb97c84735801c38fe1ad3a753,Grace Baptist Church,33.849406,-117.586651,Corona,CA,92882,06,06065,Riverside County,060650418061
16285,sg:df3482310f6d4b58a7f56489b3fae594,Beverly Hills Foursquare Church,34.037349,-118.45105,Los Angeles,CA,90025,06,06037,Los Angeles County,060372676001
16286,sg:e469248a136a411e93624f3cc259b8a1,Mount Olive Missionary Baptist Church,37.460248,-122.13033600000001,East Palo Alto,CA,94303,06,06081,San Mateo County,060816119005
16287,sg:ed3f9ee90308402590e0d81c080bbae2,Temple Har Shalom,33.760808000000004,-116.737844,Idyllwild,CA,92549,06,06065,Riverside County,060650444052
16288,sg:f2b96d620555452d8df397ddc25cfcc3,Resurrection Power Evangelistic Center,37.971371999999995,-121.27661100000002,Stockton,CA,95205,06,06077,San Joaquin County,060770015001
16289,sg:4ef1ec1c988d4f2b8e7c3fcc04cfbd16,IDCS Su Presencia,33.634747999999995,-117.71486200000001,Lake Forest,CA,92630,,,,
16290,sg:657dae4ddb5948368af4e0bfc6b3abf9,Ukrainian Orthodox Church of St Vladimir,34.08383,-118.287842,Los Angeles,CA,90029,06,06037,Los Angeles County,060371914201
16291,sg:707f1f8536c1443693a4d21eb91491e9,Centural Lutheran Church,34.05316,-118.31347,Los Angeles,CA,90019,06,06037,Los Angeles County,060372131002
16292,sg:8f605a12925644cea69a7fe735d55e4c,Church of the Nazarene Bloomington,34.073838,-117.392896,Bloomington,CA,92316,06,06071,San Bernardino County,060710036061
