,safegraph_place_id,cbg,date,visits,size
0,sg:000af9a3aeb94c8d9e2f8fa933b88ae3,060133451143,2020-05,4,1.0
1,sg:000af9a3aeb94c8d9e2f8fa933b88ae3,060133462042,2020-05,4,1.0
2,sg:000af9a3aeb94c8d9e2f8fa933b88ae3,060133100002,2020-05,4,1.0
3,sg:000af9a3aeb94c8d9e2f8fa933b88ae3,060133430031,2020-05,4,1.0
4,sg:0037a4917b2d44b694428ca6b71ce405,060952523131,2020-05,4,3.0
5,sg:0044e318bb7747e69f23b64fb846666b,060590320423,2020-05,4,3.0
6,sg:0044e318bb7747e69f23b64fb846666b,060650414122,2020-05,4,3.0
7,sg:0044e318bb7747e69f23b64fb846666b,060590320421,2020-05,4,3.0
8,sg:0044e318bb7747e69f23b64fb846666b,060590218212,2020-05,4,3.0
9,sg:0044e318bb7747e69f23b64fb846666b,060590320422,2020-05,4,3.0
10,sg:004d8dc6f17b4cd9bcd41c866a310cbf,060014097004,2020-05,4,1.0
11,sg:0055eaf6d0604f8e859233ca8e44d6c4,060710029013,2020-05,4,1.0
12,sg:006bd646ccdc435f9050778ad73139b9,060855110003,2020-05,4,0.0
13,sg:007b14c986224df78a96ee811e966adb,060971507014,2020-05,4,2.0
14,sg:007ca5c9f9874e0ba8e3664126025ac8,060855023012,2020-05,6,5.0
15,sg:007ca5c9f9874e0ba8e3664126025ac8,060855029023,2020-05,4,5.0
16,sg:007ca5c9f9874e0ba8e3664126025ac8,060855068033,2020-05,4,5.0
17,sg:007ca5c9f9874e0ba8e3664126025ac8,060855029022,2020-05,4,5.0
18,sg:007ca5c9f9874e0ba8e3664126025ac8,060855125063,2020-05,4,5.0
19,sg:007ca5c9f9874e0ba8e3664126025ac8,060855039023,2020-05,4,5.0
20,sg:007ca5c9f9874e0ba8e3664126025ac8,060014433012,2020-05,4,5.0
21,sg:0094ab131e3d45108bee2b17c7d15497,060290033062,2020-05,4,0.0
22,sg:009f99d28d784118942bf0473c5edb78,060670075012,2020-05,4,3.0
23,sg:009f99d28d784118942bf0473c5edb78,060070026013,2020-05,4,3.0
24,sg:00a15c25a7ba4896a438d77884f4f63f,060375028011,2020-05,4,4.0
25,sg:00a15c25a7ba4896a438d77884f4f63f,060375527005,2020-05,4,4.0
26,sg:00a15c25a7ba4896a438d77884f4f63f,060650308001,2020-05,4,4.0
27,sg:00a15c25a7ba4896a438d77884f4f63f,060591106043,2020-05,4,4.0
28,sg:00a15c25a7ba4896a438d77884f4f63f,060375533002,2020-05,4,4.0
29,sg:00a15c25a7ba4896a438d77884f4f63f,060375528002,2020-05,4,4.0
30,sg:00a1b2c696f348ce8de359ee599934ca,060590017052,2020-05,4,3.0
31,sg:00a1b2c696f348ce8de359ee599934ca,060375034013,2020-05,4,3.0
32,sg:00a1b2c696f348ce8de359ee599934ca,060591106054,2020-05,4,3.0
33,sg:00b32e5bf3674310bc889acd9672a8d7,061030007001,2020-05,5,4.0
34,sg:00b32e5bf3674310bc889acd9672a8d7,060890117032,2020-05,4,4.0
35,sg:00b32e5bf3674310bc889acd9672a8d7,061030009002,2020-05,4,4.0
36,sg:00b32e5bf3674310bc889acd9672a8d7,060210103003,2020-05,4,4.0
37,sg:00b32e5bf3674310bc889acd9672a8d7,061030003002,2020-05,4,4.0
38,sg:00b4add352e848cf8d0fd5f757d676f5,060372969013,2020-05,10,4.0
39,sg:00b4add352e848cf8d0fd5f757d676f5,060372972022,2020-05,4,4.0
40,sg:00b4add352e848cf8d0fd5f757d676f5,060372964021,2020-05,4,4.0
41,sg:00b4add352e848cf8d0fd5f757d676f5,060590992262,2020-05,4,4.0
42,sg:00b4add352e848cf8d0fd5f757d676f5,060290046041,2020-05,4,4.0
43,sg:00b4add352e848cf8d0fd5f757d676f5,060372947013,2020-05,4,4.0
44,sg:00c46b9506d049b291fd0364c28a4fd2,060330009003,2020-05,4,3.0
45,sg:00c46b9506d049b291fd0364c28a4fd2,060330004001,2020-05,4,3.0
46,sg:00c46b9506d049b291fd0364c28a4fd2,060330005022,2020-05,4,3.0
47,sg:00ca9d97fefb4545bd7818c4d0f1e470,060855083044,2020-05,4,5.0
48,sg:00ce29fa2c684284be1afd442d97800d,060710020381,2020-05,4,4.0
49,sg:00ce29fa2c684284be1afd442d97800d,060710111012,2020-05,4,4.0
50,sg:00cedfea472441e5ab2ef6d925f75d00,060670059031,2020-05,7,2.0
51,sg:00cedfea472441e5ab2ef6d925f75d00,060670075012,2020-05,4,2.0
52,sg:00e209f3d03f48679bed3d5587f6c332,060855035062,2020-05,4,2.0
53,sg:00e209f3d03f48679bed3d5587f6c332,060855031171,2020-05,4,2.0
54,sg:00ed83fabae14a3fa465a69e5144f6df,061130112063,2020-05,7,3.0
55,sg:00ed83fabae14a3fa465a69e5144f6df,060670093091,2020-05,6,3.0
56,sg:00ed83fabae14a3fa465a69e5144f6df,061130112051,2020-05,4,3.0
57,sg:00ed83fabae14a3fa465a69e5144f6df,060670086002,2020-05,4,3.0
58,sg:00ee844898dd480abaeb4507478aa911,060730075014,2020-05,6,1.0
59,sg:00f850a0dad346189707500cc06d515a,060230108003,2020-05,4,1.0
60,sg:00f850a0dad346189707500cc06d515a,060230006002,2020-05,4,1.0
61,sg:00f850a0dad346189707500cc06d515a,060230109011,2020-05,4,1.0
62,sg:0100316ffea84d9a975fb1a07aee3cac,060670084023,2020-05,4,0.0
63,sg:010c827e25894cf380dce874b58c0e10,060014077001,2020-05,4,1.0
